-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  BatchSheetNumber  | ProductNumberExter | ProductNumberInter | ProductDesignation |     CustomerID     |      DueDate       |  DateManufactured  |   ExpirationDate   |       QCDate       |   QCPerformedBy    |     NetWeight      |   TotalQuantity    | TotalQuantityUnitT |  Column1UnitType   |  Column2UnitType   |      Filtered      |      Allergen      |       Kosher       | NumberOfTimesToMak |       MadeBy       |       Yield        |  abeleiLotNumber   | LotSequenceNumber  |       Vessel       |       Notes        |    ScaleNumber     | CommitedToInventor |    Manufactured    | InventoryMovementT | InventoryMovementR |  QCDateOfStandard  | QCLotNumberofStand |  QCCofAAvailable   | QCCofAStandardAvai |      QCColor       |       QCOdor       |   QCGranulation    |       QCBrix       | QCMethodForOrganol | QCOrganolepticOber | QCMicrobiologicalR | QCMicrobiologicalR | QCMicrobiologicalR | QCMicrobiologicalR | QCProductMeetsAllS |     QCComments     | SizeOfRetainTaken  |     QCMoisture     | QCPackagingTypeAnd | QCActualSpecificGr |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                  1 | 192a41K            | 210717             | N&A Soursop Flavor |                  0 |                    |                    |                    |                    |                    |            50.0000 |             0.0000 | grams              | lbs                | grams              |                 No |                    |                    |                  0 |                    |            100.00% |                    |                  1 |                    |                    |                    |                 No |                 No |                  0 |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                  2 | 187a06K            | 210737             | N&A Pumpkin Pie    |                  0 |                    |                    |                    |                    |                    |            50.0000 |             0.0000 | grams              | lbs                | grams              |                 No |                    |                    |                  0 |                    |            100.00% |                    |                  1 |                    |                    |                    |                 No |                 No |                  0 |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                  3 | US-B126            | 200440             | N&A Banana         |               4874 |          2/26/2008 |          2/25/2008 |                    |                    | Bridget McGowan    |            25.0000 |             0.0000 | lbs                | lbs                | lbs                |                Yes |                    |                    |                  5 | Marcelino          |             98.50% | 080225-5           |                  1 | 50-G Wheels        | Net Weight = 5 x   |                    |                Yes |                Yes |               1094 | Farleys and        |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                  5 | US-B126K           | 200430             | N&A Banana         |               4874 |          2/22/2008 |          2/25/2008 |                    |                    | Bridget McGowan    |            21.0500 |             0.0000 | lbs                | grams              | lbs                |                Yes |                    |                    |                  1 | Marcelino          |             98.00% | 080225-4           |                  1 | Stainless Steel    | Intermediate to    |                    |                Yes |                Yes |                820 | Farleys and        |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                 10 | 197a69             | 209684             | N&A Vanilla Flavor |               5188 |          2/26/2008 |          2/20/2008 |                    |                    | Bridget McGowan    |          1892.0000 |             0.0000 | lbs                | lbs                | lbs                |                Yes |                    |                    |                  1 | Marcelino          |             98.00% | 080220-1           |                  1 | 250-G Jacketed     | Net  Weight = 4 x  |                    |                Yes |                Yes |                641 | BGC Manufacturing  |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |                    |
